feature,importance_mean,importance_std
num__mileage_num,1983.3273550991337,335.6429625747586
num__year_num,690.6136146989884,73.96616789377964
cat__transmission_automatic,253.85875279955653,234.79536596438354
cat__recent_repairs_minor,221.96640512388512,181.23481086447217
cat__recent_repairs_none,195.16834446292486,236.73910177032923
cat__make_Ford,152.58429520741484,196.46031885998514
cat__make_Jeep,78.59549349943845,157.190986998876
cat__make_Honda,78.59549349943809,157.19098699887527
cat__model_Tundra,78.59549349943772,157.19098699887545
cat__model_Accord,78.59549349943772,157.19098699887545
cat__make_Toyota,78.59549349943772,157.19098699887635
cat__seller_urgency_medium,73.98880170796983,159.74361727537024
cat__transmission_manual,2.306478563696146e-10,4.9900021714741024e-11
cat__make_Chevrolet,1.546140993013978e-10,3.7455284258565374e-11
cat__model_Bel Air,1.266016624867916e-10,8.911191772433733e-13
cat__model_corvette,9.458744898438454e-11,0.0
cat__make_chevrolet,9.458744898438454e-11,0.0
cat__model_Camaro,4.729372449219227e-11,0.0
cat__model_Mustang GT,2.510205376893282e-11,7.275957614183425e-13
cat__make_Land Rover,1.2732925824820995e-11,0.0
cat__model_Defender 90,1.2732925824820995e-11,0.0
cat__make_Nissan,2.546585164964199e-12,3.3737227551667105e-12
cat__model_Altima,1.8189894035458565e-12,3.637978807091713e-12
cat__make_Hyundai,1.8189894035458565e-12,0.0
cat__make_Pontiac,1.8189894035458565e-12,3.637978807091713e-12
cat__model_firebird trans am,1.8189894035458565e-12,3.637978807091713e-12
cat__model_A4,1.8189894035458565e-12,3.637978807091713e-12
cat__model_Elantra,1.8189894035458565e-12,0.0
cat__model_500,1.8189894035458565e-12,0.0
cat__make_Fiat,1.8189894035458565e-12,0.0
cat__make_hyundai,1.8189894035458565e-12,3.637978807091713e-12
cat__model_Fusion,1.4551915228366853e-12,7.275957614183427e-13
cat__model_Country Squire Wagon,1.4551915228366853e-12,2.910383045673371e-12
cat__model_CAMRY LE,1.4551915228366853e-12,2.9103830456733705e-12
cat__model_XV Crosstrek,1.0913936421275138e-12,8.911191772433734e-13
cat__model_Camry SE,1.0913936421275138e-12,1.4551915228366853e-12
cat__make_Mini,1.0913936421275138e-12,2.1827872842550277e-12
cat__make_jeep,1.0913936421275138e-12,2.182787284255028e-12
cat__model_Rogue,7.275957614183426e-13,8.911191772433734e-13
cat__make_HONDA,3.637978807091713e-13,7.275957614183427e-13
cat__model_Murano,3.637978807091713e-13,7.275957614183427e-13
cat__model_Acadia SLT AWD SUV,3.637978807091713e-13,7.275957614183427e-13
cat__model_forester 2.5i limited awd,3.637978807091713e-13,7.275957614183426e-13
cat__make_Chrysler,3.637978807091713e-13,7.275957614183426e-13
cat__condition_fair,3.637978807091713e-13,3.5271513169691966e-12
cat__model_CIVIC EX-L,3.637978807091713e-13,7.275957614183427e-13
cat__model_Grand Caravan,3.637978807091713e-13,7.275957614183427e-13
cat__model_Town & Country,3.637978807091713e-13,7.275957614183426e-13
cat__make_Mercedes Benz,3.637978807091713e-13,7.275957614183426e-13
cat__model_F-150,3.637978807091713e-13,7.275957614183426e-13
cat__make_Audi,3.637978807091713e-13,5.797984140557392e-12
cat__model_XV CrossTrek,3.637978807091713e-13,7.275957614183427e-13
cat__model_Forester,3.637978807091713e-13,7.275957614183427e-13
cat__model_GLK-Class,3.637978807091713e-13,7.275957614183427e-13
cat__make_dodge,3.637978807091713e-13,7.275957614183427e-13
cat__model_AMG GLE 43 Studio,3.637978807091713e-13,7.275957614183426e-13
cat__model_TLX,0.0,0.0
cat__model_S-class S550,0.0,0.0
cat__model_S10,0.0,0.0
cat__model_TL,0.0,0.0
cat__model_RX 350,0.0,0.0
cat__model_Ram 1500,0.0,0.0
cat__model_ProMaster 2500,0.0,0.0
cat__model_Promaster 2500,0.0,0.0
cat__model_TRAX LT,0.0,0.0
cat__model_Tahoe,0.0,0.0
cat__model_Taurus,0.0,0.0
cat__model_Tiguan,0.0,0.0
cat__model_S4,0.0,0.0
cat__model_Sportage,0.0,0.0
cat__model_Sprinter 3500,0.0,0.0
cat__model_Sprinter C2500/C3500,0.0,0.0
cat__model_Town and country,0.0,0.0
cat__model_Trans Am,0.0,0.0
cat__model_Transit 250,0.0,0.0
cat__model_Transit AWD Mini T HR Campervan,0.0,0.0
cat__model_Traverse,0.0,0.0
cat__model_Trax,0.0,0.0
cat__model_Tiguan S,0.0,0.0
cat__model_Wrangler,0.0,0.0
cat__model_XC70,0.0,0.0
cat__model_XF,0.0,0.0
cat__model_XJS Roadster,0.0,0.0
cat__model_XK8 Convertible Coupe,0.0,0.0
cat__model_XTS,0.0,0.0
cat__model_X2,0.0,0.0
cat__model_X3,0.0,0.0
cat__model_RX350,0.0,0.0
cat__model_Silverado 2500 HD,0.0,0.0
cat__model_Silverado 2500HD,0.0,0.0
cat__model_Sonata,0.0,0.0
cat__model_Soul,0.0,0.0
cat__model_Soul GL,0.0,0.0
cat__model_X7,0.0,0.0
cat__model_XC60 T5 AWD Premier SUV,0.0,0.0
cat__model_XC60 T5 Premier AWD SUV,0.0,0.0
cat__model_X3 2.8i X-drive Premium SUV,0.0,0.0
cat__model_S430,0.0,0.0
cat__model_S5 Convertible Premium Plus Quattro Drive,0.0,0.0
cat__model_S500 4Matic,0.0,0.0
cat__model_Tlx,0.0,0.0
cat__model_S80 T6 Premier AWD Sedan,0.0,0.0
cat__model_SAVANA 2500HD CARGO,0.0,0.0
cat__model_SEQUOIA SR5 4X4,0.0,0.0
cat__model_SIERRA 1500HD 4X4 EXT,0.0,0.0
cat__model_WRANGLER SPORT,0.0,0.0
cat__model_SILVERADO 1500 RST Z-71 4X4 CREW CAB,0.0,0.0
cat__model_Rx7,0.0,0.0
cat__model_S-Class,0.0,0.0
cat__model_X3 3.5i X-drive Premium SUV,0.0,0.0
cat__model_X3 3.5i x-drive,0.0,0.0
cat__model_X3 3.5i x-drive SUV,0.0,0.0
cat__model_X5,0.0,0.0
cat__model_X5 3.5i X-drive Sport SUV,0.0,0.0
cat__model_Vue,0.0,0.0
cat__model_SIERRA K 8CYL,0.0,0.0
cat__model_M240i,0.0,0.0
cat__model_M45X AWD Premium Sedan,0.0,0.0
cat__model_MDX,0.0,0.0
cat__model_Rambler Classic,0.0,0.0
cat__model_Range Rover,0.0,0.0
cat__model_Range Rover Sport,0.0,0.0
cat__model_Range Rover Sport HSE Luxury,0.0,0.0
cat__model_Ranger,0.0,0.0
cat__model_Ranger XL,0.0,0.0
cat__model_Sierra 2500hd Denali,0.0,0.0
cat__model_Quattroporte,0.0,0.0
cat__model_Ranger Xlt,0.0,0.0
cat__model_Rav 4,0.0,0.0
cat__model_Rav4 Limited,0.0,0.0
cat__model_Rio,0.0,0.0
cat__model_Rx 350 F Sport,0.0,0.0
cat__model_Ram 1500 Laramie,0.0,0.0
cat__model_Ram 2500 5.9L Cummins,0.0,0.0
cat__model_Mustang V6,0.0,0.0
cat__model_QX60,0.0,0.0
cat__model_Lucerne,0.0,0.0
cat__model_Pathfinder S,0.0,0.0
cat__model_Pilot,0.0,0.0
cat__model_Prius C Four,0.0,0.0
cat__model_Prius Hybrid,0.0,0.0
