feature,importance_mean,importance_std
num__mileage_num,130.65131712234287,19.29848609930607
num__year_num,46.354694743550134,8.16782817292463
cat__recent_repairs_none,39.0756518221835,21.118443939885257
cat__condition_excellent,35.84678863474801,15.860107828935103
cat__transmission_automatic,31.085548243317316,6.615115918513315
cat__recent_repairs_minor,7.724262425517736,9.460250790943773
cat__condition_good,3.862131212770328,7.724262425520647
cat__make_Audi,3.862131212763052,7.724262425526104
cat__model_CR-V EX,3.862131212762688,7.724262425525376
cat__model_5 Series,3.862131212762688,7.724262425525376
cat__model_A3,3.862131212762324,7.7242624255255565
cat__make_BMW,3.8621312127619603,7.7242624255239205
cat__make_Honda,3.8621312127597776,7.724262425526831
cat__make_Chevy,3.862131212759414,7.724262425527013
cat__make_Chevrolet,8.913048077374697e-11,3.1018969817221234e-11
cat__transmission_manual,8.476490620523691e-11,1.455191522836685e-12
cat__model_Bel Air,7.457856554538012e-11,0.0
cat__recent_repairs_major,4.256435204297304e-11,3.8750878658480304e-11
cat__seller_urgency_medium,3.055902197957039e-11,1.7822383544867465e-12
cat__model_Camaro,2.7284841053187847e-11,0.0
cat__make_Ford,7.639755494892598e-12,2.1212879418618467e-12
cat__make_honda,2.9103830456733705e-12,1.4551915228366855e-12
cat__model_accord,2.9103830456733705e-12,1.4551915228366855e-12
cat__make_CHRYSLER,1.0913936421275138e-12,8.911191772433734e-13
cat__model_CHEVELLE,7.275957614183426e-13,1.4551915228366853e-12
cat__model_Rogue,3.637978807091713e-13,1.7822383544867467e-12
cat__model_LC 500,0.0,0.0
cat__model_LS 460,0.0,0.0
cat__model_LX 570,0.0,0.0
cat__model_Kona,0.0,0.0
cat__model_Journey SXT,0.0,0.0
cat__model_ML350,0.0,0.0
cat__model_MKZ,0.0,0.0
cat__model_MKT Limousine,0.0,0.0
cat__model_Jetta,0.0,0.0
cat__model_Impreza Sport,0.0,0.0
cat__model_Impreza Hatchback Sport Premium,0.0,0.0
cat__model_Impreza,0.0,0.0
cat__model_Trax LS,0.0,0.0
cat__model_PACIFICA LIMITED,0.0,0.0
cat__model_Outlander,0.0,0.0
cat__model_X7,0.0,0.0
cat__model_X3 3.5i x-drive SUV,0.0,0.0
cat__model_X3 3.5i x-drive,0.0,0.0
cat__model_X3 3.5i X-drive Premium SUV,0.0,0.0
cat__model_Yukon XL,0.0,0.0
cat__model_XV Crosstrek Limited 4D Wagon,0.0,0.0
cat__model_XV CROSSTREK HYBRID,0.0,0.0
cat__model_XTS,0.0,0.0
cat__model_X3 2.8i X-drive Premium SUV,0.0,0.0
cat__model_X1 xdrive28i,0.0,0.0
cat__model_S4,0.0,0.0
cat__model_Wrangler Sahara,0.0,0.0
cat__model_Wrangler Rubicon,0.0,0.0
cat__model_Wrangler,0.0,0.0
cat__model_XC70,0.0,0.0
cat__model_XC60 T5 AWD Premier SUV,0.0,0.0
cat__model_S60 T5 AWD Sport Sedan,0.0,0.0
cat__model_S5 Convertible Premium Plus Quattro Drive,0.0,0.0
cat__model_Impala LT,0.0,0.0
cat__model_Versa SV,0.0,0.0
cat__model_Versa,0.0,0.0
cat__model_Venza LE FWD SUV,0.0,0.0
cat__model_Tundra SR5,0.0,0.0
cat__model_X1,0.0,0.0
cat__model_Highlander XLE AWD,0.0,0.0
cat__model_H2,0.0,0.0
cat__model_Flex,0.0,0.0
cat__model_Fiesta,0.0,0.0
cat__model_GLE 350,0.0,0.0
cat__model_GLA 250,0.0,0.0
cat__model_G 63 AMG,0.0,0.0
cat__model_Fusion Hybrid,0.0,0.0
cat__model_Fusion,0.0,0.0
cat__model_Frontier SE Crew Cab,0.0,0.0
cat__model_Maxima SV,0.0,0.0
cat__model_PROMASTER 2500,0.0,0.0
cat__model_Malibu LT,0.0,0.0
cat__model_MURANO SV,0.0,0.0
cat__model_Forte,0.0,0.0
cat__model_Forester 2.5i Premium AWD SUV,0.0,0.0
cat__model_Forester 2.5i Limited AWD,0.0,0.0
cat__model_Forester,0.0,0.0
cat__model_MKT Limo,0.0,0.0
cat__model_MDX SPORT,0.0,0.0
cat__model_MDX,0.0,0.0
cat__model_M45X AWD Premium Sedan,0.0,0.0
cat__model_Model S,0.0,0.0
cat__model_Model 3,0.0,0.0
cat__model_Maxima,0.0,0.0
cat__model_ILX,0.0,0.0
cat__model_M240i,0.0,0.0
cat__model_Lucerne,0.0,0.0
cat__model_Pacifica,0.0,0.0
cat__model_Mountaineer Sport Utility,0.0,0.0
cat__model_PACIFICA TOURING L,0.0,0.0
cat__model_ProMaster 1500,0.0,0.0
cat__model_Prius Touring Hybrid Hatchback,0.0,0.0
cat__model_Prius Hybrid,0.0,0.0
cat__model_Prius C Four,0.0,0.0
cat__model_Jetta Sedan,0.0,0.0
cat__model_Glc,0.0,0.0
cat__model_Outback 2.5i,0.0,0.0
cat__model_Odyssey EX,0.0,0.0
cat__model_Nx,0.0,0.0
cat__model_Pathfinder S,0.0,0.0
cat__model_Pathfinder,0.0,0.0
cat__model_Passat,0.0,0.0
cat__model_Pacifica Mini-T Campervan,0.0,0.0
cat__model_Frontier,0.0,0.0
cat__model_Grand Caravan SXT,0.0,0.0
cat__model_Grand Caravan,0.0,0.0
cat__model_Golf Sportwagen TSI SE Wagon,0.0,0.0
cat__model_Golf GTI Autobahn,0.0,0.0
cat__model_Outback Limited AWD Wagon,0.0,0.0
cat__make_Jeep,0.0,0.0
cat__make_International,0.0,0.0
cat__make_Mini,0.0,0.0
cat__make_Mercury,0.0,0.0
cat__make_Mercedes-benz,0.0,0.0
cat__make_Mercedes Benz,0.0,0.0
cat__make_Mercedes,0.0,0.0
cat__model_TLX,0.0,0.0
cat__model_TL,0.0,0.0
cat__model_TERRAIN SLE-2,0.0,0.0
cat__model_Town & Country,0.0,0.0
cat__model_Super Duty F-350 SRW,0.0,0.0
cat__model_Suburban LT,0.0,0.0
cat__model_Trax,0.0,0.0
cat__model_Sentra,0.0,0.0
cat__model_Seltos EX,0.0,0.0
cat__model_Sedan,0.0,0.0
cat__model_Sportage,0.0,0.0
cat__model_Soul,0.0,0.0
cat__model_Silverado 2500 HD,0.0,0.0
cat__model_Silverado 1500 Z71 LT,0.0,0.0
cat__model_Silverado 1500 LT extended cab 4D,0.0,0.0
cat__model_TAHOE LT,0.0,0.0
cat__model_tc,0.0,0.0
cat__model_taurus sel,0.0,0.0
cat__model_taurus,0.0,0.0
cat__model_tahoe,0.0,0.0
cat__model_tacoma,0.0,0.0
cat__model_suburban,0.0,0.0
cat__model_xc60,0.0,0.0
cat__make_Scion,0.0,0.0
cat__model_soul +,0.0,0.0
cat__model_soul,0.0,0.0
cat__model_sonata GLS,0.0,0.0
cat__make_ACURA,0.0,0.0
cat__model_scion xb,0.0,0.0
cat__model_s,0.0,0.0
cat__model_tiguan,0.0,0.0
cat__make_Mazda,0.0,0.0
cat__make_Lincoln,0.0,0.0
cat__make_Saab,0.0,0.0
cat__make_Pontiac,0.0,0.0
cat__make_NISSAN,0.0,0.0
cat__make_Volkswagen,0.0,0.0
cat__make_Tesla,0.0,0.0
cat__make_Suzuki,0.0,0.0
cat__model_sonata,0.0,0.0
cat__model_Rx 350 F Sport,0.0,0.0
cat__model_ROGUE S,0.0,0.0
cat__model_RDX,0.0,0.0
cat__model_QX60,0.0,0.0
cat__model_QX56,0.0,0.0
cat__model_Q5 Prestige,0.0,0.0
cat__model_Q5 Premium,0.0,0.0
cat__model_Ranger XL regular cab 2D 6FT,0.0,0.0
cat__model_Ranger XL,0.0,0.0
cat__model_Traverse,0.0,0.0
cat__model_yaris ia,0.0,0.0
cat__model_Mini T HR Campervan,0.0,0.0
cat__model_Tlx,0.0,0.0
cat__model_Tiguan S,0.0,0.0
cat__model_Tiguan,0.0,0.0
cat__model_Taurus,0.0,0.0
cat__model_RX350,0.0,0.0
cat__model_XJS Roadster,0.0,0.0
cat__model_Mustang V6,0.0,0.0
cat__model_Mustang GT,0.0,0.0
cat__model_Mustang Convertible,0.0,0.0
