feature,importance_mean,importance_std
num__mileage_num,5399.500092074698,389.80728233283037
num__year_num,1279.8037316175896,185.42819618049367
cat__seller_urgency_high,722.0749704043932,317.46538644710375
cat__transmission_automatic,538.0996713755585,167.64305574854467
cat__recent_repairs_none,503.023976375187,164.0776634697782
cat__condition_excellent,472.5598206028646,330.79192481230444
cat__make_Audi,159.5851180264839,195.45105485335685
cat__make_Dodge,79.79255901324413,159.58511802648053
cat__model_Neon,79.79255901324396,159.58511802648064
cat__seller_urgency_low,79.79255901324196,159.58511802648255
cat__model_A4,79.79255901324196,159.58511802648255
cat__model_Q3,79.79255901324123,159.58511802648246
cat__model_Dakota,79.79255901323995,159.5851180264831
cat__make_Ram,79.79255901323977,159.58511802648272
cat__recent_repairs_major,2.4501787265762685e-10,9.285758291735123e-12
cat__transmission_manual,2.43198883254081e-10,9.214218256175766e-12
cat__model_Bel Air,2.3901520762592555e-10,3.637978807091713e-13
cat__make_Chevrolet,2.3283064365386963e-10,8.134767913360664e-13
cat__make_Ford,6.5483618527650835e-12,1.143795810804476e-11
cat__make_Lexus,6.366462912410498e-12,0.0
cat__model_LC 500,6.366462912410498e-12,0.0
cat__model_Fusion,5.4569682106375694e-12,9.167417860847601e-12
cat__make_acura,4.911271389573813e-12,8.465632183812048e-12
cat__model_F150,3.819877747446299e-12,9.010885024691259e-12
cat__condition_fair,3.456079866737127e-12,8.283894230215591e-12
cat__make_Mercedes-Benz,1.8189894035458565e-12,1.408983133372173e-12
cat__make_Volvo,1.6370904631912709e-12,1.4551915228366853e-12
cat__model_S-Class,1.6370904631912709e-12,1.4551915228366855e-12
cat__make_Subaru,1.6370904631912709e-12,2.3994118161268344e-12
cat__make_subaru,1.2732925824820995e-12,1.7822383544867465e-12
cat__model_Civic,1.2732925824820995e-12,1.6868613775833553e-12
cat__make_Land Rover,1.2732925824820995e-12,1.7822383544867465e-12
cat__make_Mazda,1.2732925824820995e-12,4.4555958862168663e-13
cat__model_528i x-drive Premium Sedan,1.2732925824820995e-12,1.6868613775833553e-12
cat__model_Range Rover Sport,1.2732925824820995e-12,1.7822383544867465e-12
cat__model_Town & Country,9.094947017729282e-13,0.0
cat__model_Mustang Convertible,9.094947017729282e-13,1.907772181166641e-12
cat__model_CHEVELLE,9.094947017729282e-13,0.0
cat__make_Chrysler,9.094947017729282e-13,0.0
cat__model_MK V Drophead coupe,9.094947017729282e-13,0.0
cat__make_CHEVROLET,9.094947017729282e-13,0.0
cat__make_Jaguar,9.094947017729282e-13,0.0
cat__model_outback,7.275957614183426e-13,2.0255408754856115e-12
cat__model_F-150,7.275957614183426e-13,3.637978807091713e-13
cat__model_Ranger XLT,7.275957614183426e-13,3.637978807091713e-13
cat__model_Rogue,7.275957614183426e-13,3.6379788070917137e-13
cat__model_Pathfinder,5.456968210637569e-13,4.455595886216867e-13
cat__model_impreza,5.456968210637569e-13,2.041810541472264e-12
cat__model_Pilot,5.456968210637569e-13,4.455595886216867e-13
cat__model_crosstrek,5.456968210637569e-13,4.455595886216867e-13
cat__make_Honda,5.456968210637569e-13,1.7822383544867465e-12
cat__model_Escape,5.456968210637569e-13,1.6868613775833553e-12
cat__model_Outback,5.456968210637569e-13,4.455595886216867e-13
cat__model_Legacy,3.637978807091713e-13,7.275957614183425e-13
cat__model_mdx,3.637978807091713e-13,4.455595886216867e-13
cat__model_Forester,3.637978807091713e-13,7.275957614183425e-13
cat__model_Elantra,1.8189894035458566e-13,6.80603513824088e-13
cat__model_XV CrossTrek,1.8189894035458566e-13,6.80603513824088e-13
cat__model_Grand Caravan,1.8189894035458566e-13,8.911191772433734e-13
cat__model_elantra,1.8189894035458566e-13,8.911191772433734e-13
cat__model_Tahoe,1.8189894035458566e-13,6.80603513824088e-13
cat__model_MDX,1.8189894035458566e-13,8.911191772433734e-13
cat__model_JETTA SE,1.8189894035458566e-13,6.80603513824088e-13
cat__model_rav4 hybrid,1.8189894035458566e-13,6.80603513824088e-13
cat__make_VW,1.8189894035458566e-13,6.80603513824088e-13
cat__make_bmw,1.8189894035458566e-13,6.80603513824088e-13
cat__make_Acura,1.8189894035458566e-13,8.911191772433734e-13
cat__model_Thunderbird,0.0,0.0
cat__model_XC60 T5 AWD Premier SUV,0.0,0.0
cat__model_Taurus,0.0,0.0
cat__model_X1 xdrive28i,0.0,0.0
cat__model_Quattroporte,0.0,0.0
cat__model_TRAX LT,0.0,0.0
cat__model_TLX,0.0,0.0
cat__model_TL,0.0,0.0
cat__model_X2,0.0,0.0
cat__model_X3,0.0,0.0
cat__model_Rio,0.0,0.0
cat__model_Trax,0.0,0.0
cat__model_Super Duty F-350 SRW,0.0,5.752149554916067e-13
cat__model_Wrangler,0.0,0.0
