feature,importance_mean,importance_std
num__mileage_num,4430.2525876147165,270.82315856015816
num__year_num,1354.8444851404952,153.43389508618745
cat__recent_repairs_none,888.5663779632174,553.1095474033439
cat__transmission_automatic,476.8664138250177,260.9632944617963
cat__recent_repairs_minor,71.48363327850129,142.96726655687252
cat__make_Lexus,71.48363327847255,142.96726655690054
cat__seller_urgency_medium,71.48363327846673,142.9672665569007
cat__condition_good,71.48363327846346,142.96726655689326
cat__make_Volvo,71.48363327845618,142.9672665569069
cat__make_toyota,71.48363327845509,142.96726655690654
cat__model_camry,71.483633278454,142.967266556908
cat__model_LS 460,71.483633278454,142.967266556908
cat__model_F-150,71.483633278454,142.967266556908
cat__model_Silverado 1500,71.48363327845291,142.96726655690765
cat__make_Ford,71.4836332784358,142.96726655690435
cat__condition_excellent,16.500926304394305,113.12565594772501
cat__model_Bel Air,8.913048077374697e-11,0.0
cat__make_Chevrolet,8.803908713161945e-11,1.1709545607613896e-11
cat__recent_repairs_major,6.22094376012683e-11,5.1940349796713403e-11
cat__transmission_manual,5.857145879417658e-11,4.023874275167899e-11
cat__seller_urgency_low,3.492459654808044e-11,3.0770505623936334e-11
cat__model_Pacifica,2.000888343900442e-11,0.0
cat__make_Chrysler,1.964508555829525e-11,7.275957614183425e-13
cat__make_Ram,1.4915713109076022e-11,2.9831426218152044e-11
cat__model_ProMaster 2500,1.4915713109076022e-11,2.9831426218152044e-11
cat__make_Chevy,1.127773430198431e-11,3.182763681703277e-11
cat__make_Audi,1.0550138540565967e-11,3.311160326988539e-11
cat__model_impreza,4.0017766878008846e-12,8.003553375601769e-12
cat__model_express 2500,4.0017766878008846e-12,8.003553375601769e-12
cat__model_Prius Two,4.0017766878008846e-12,8.003553375601769e-12
cat__model_LC 500,4.0017766878008846e-12,7.275957614183425e-13
cat__model_Elantra,3.637978807091713e-12,8.21571287134154e-12
cat__make_subaru,3.2741809263825417e-12,7.491056851713074e-12
cat__make_Subaru,2.9103830456733705e-12,4.961541598090065e-12
cat__model_X1,2.9103830456733705e-12,4.242575883723694e-12
cat__make_Hyundai,2.9103830456733705e-12,8.655026070024411e-12
cat__model_Econoline Cargo Van e-250,2.546585164964199e-12,5.093170329928398e-12
cat__model_XV CrossTrek,2.546585164964199e-12,5.093170329928398e-12
cat__model_Cherokee Latitude,2.546585164964199e-12,5.093170329928398e-12
cat__model_Fusion,2.546585164964199e-12,5.221481876799707e-12
cat__make_BMW,2.1827872842550277e-12,3.5271513169691966e-12
cat__make_chevy,2.1827872842550277e-12,4.365574568510056e-12
cat__model_CHEVELLE,7.275957614183426e-13,1.4551915228366855e-12
cat__make_Toyota,7.275957614183426e-13,1.813889082742085e-11
cat__make_Dodge,7.275957614183426e-13,1.4551915228366855e-12
cat__model_Grand Caravan,3.637978807091713e-13,7.275957614183427e-13
cat__model_Tundra,3.637978807091713e-13,7.275957614183427e-13
cat__make_CHRYSLER,3.637978807091713e-13,7.275957614183426e-13
cat__make_Mini,3.637978807091713e-13,7.275957614183427e-13
cat__model_Pilot,0.0,0.0
cat__model_Wrangler,0.0,0.0
cat__model_Lucerne,0.0,0.0
cat__model_WRANGLER SPORT,0.0,0.0
cat__model_Thunderbird,0.0,0.0
cat__model_Taurus,0.0,0.0
cat__model_Versa,0.0,0.0
cat__model_Venza LE FWD SUV,0.0,0.0
cat__model_Venza,0.0,0.0
cat__model_Tundra SR5,0.0,0.0
cat__model_ILX,0.0,0.0
cat__model_Trax,0.0,0.0
cat__model_Q5 Prestige,0.0,0.0
cat__model_Q5 Premium,0.0,0.0
cat__model_Q5,0.0,0.0
cat__model_Impala,0.0,0.0
cat__model_Q3,0.0,0.0
cat__model_Impala LT,0.0,0.0
