feature,importance_mean,importance_std
num__mileage_num,3413.4045681398966,373.06630289429205
num__year_num,630.5670400827701,76.01430577884189
cat__recent_repairs_none,447.21073638040525,188.16424343122964
cat__transmission_automatic,190.61949341943256,93.20733590678685
cat__condition_excellent,117.32534016648133,123.6852879564726
cat__model_LC 500,18.322012219986753,36.64402443996077
cat__make_Lexus,18.32201221998512,36.644024439955686
cat__model_Civic,18.322012219981296,36.64402443996168
cat__model_Altima,18.322012219981296,36.64402443996168
cat__make_Audi,18.322012219981296,36.64402443996214
cat__condition_fair,18.322012219979843,36.64402443996105
cat__make_Nissan,18.322012219979662,36.64402443996023
cat__model_accord,18.322012219978568,36.64402443996123
cat__make_honda,18.322012219978205,36.64402443996141
cat__recent_repairs_minor,18.32201221997475,36.644024439959956
cat__make_Honda,18.3220122199722,36.64402443994304
cat__make_Chevrolet,1.609805622138083e-10,6.583636084853008e-12
cat__model_Bel Air,1.1586962500587106e-10,4.729372449219227e-12
cat__transmission_manual,8.931237971410156e-11,5.1888725236178265e-11
cat__recent_repairs_major,7.639755494892597e-11,6.833931327189639e-11
cat__seller_urgency_medium,4.583853296935558e-11,5.826447660382461e-12
cat__model_Camaro,4.547473508864641e-11,1.1504299109832134e-12
cat__make_RAM,1.3278622645884752e-11,7.275957614183425e-13
cat__make_CHRYSLER,3.637978807091713e-12,0.0
cat__make_volkswagen,2.546585164964199e-12,1.8550124927397647e-12
cat__model_tiguan,2.3646862246096135e-12,1.3612070276481758e-12
cat__make_Ram,1.8189894035458565e-12,0.0
cat__model_Fusion,1.8189894035458565e-12,0.0
cat__make_Ford,1.6370904631912709e-12,3.32432444019961e-12
cat__model_Silverado 1500,1.2732925824820995e-12,1.3612070276481758e-12
cat__model_CHEVELLE,1.2732925824820995e-12,4.4555958862168663e-13
cat__model_Caprice,1.2732925824820995e-12,4.4555958862168663e-13
cat__make_Jaguar,1.2732925824820995e-12,4.4555958862168663e-13
cat__model_MK V Drophead coupe,1.2732925824820995e-12,4.4555958862168663e-13
cat__model_F-150,9.094947017729282e-13,1.8189894035458565e-12
cat__make_Mercedes-Benz,9.094947017729282e-13,8.134767913360664e-13
cat__make_BMW,9.094947017729282e-13,9.963015281849331e-13
cat__model_5 Series,7.275957614183426e-13,6.80603513824088e-13
cat__make_CHEVROLET,7.275957614183426e-13,1.7635756584845983e-12
cat__make_toyota,7.275957614183426e-13,6.80603513824088e-13
cat__model_Neon,7.275957614183426e-13,8.911191772433734e-13
cat__model_Q3,7.275957614183426e-13,3.6379788070917137e-13
cat__make_Pontiac,5.456968210637569e-13,4.455595886216867e-13
cat__model_Trans Am,5.456968210637569e-13,4.455595886216867e-13
cat__model_Town & Country,5.456968210637569e-13,1.6868613775833553e-12
cat__model_impreza,5.456968210637569e-13,7.275957614183425e-13
cat__model_XV CrossTrek,5.456968210637569e-13,7.275957614183425e-13
cat__model_Murano,5.456968210637569e-13,7.275957614183425e-13
cat__model_Corolla,3.637978807091713e-13,7.275957614183426e-13
cat__model_Dakota,3.637978807091713e-13,4.455595886216867e-13
cat__model_Range Rover,3.637978807091713e-13,7.275957614183427e-13
cat__model_Silverado,3.637978807091713e-13,7.275957614183427e-13
cat__model_GLA 250,3.637978807091713e-13,7.275957614183427e-13
cat__model_EX35,3.637978807091713e-13,7.275957614183427e-13
cat__model_Tundra,3.637978807091713e-13,7.275957614183427e-13
cat__make_Dodge,3.637978807091713e-13,1.361207027648176e-12
cat__model_Rogue,3.637978807091713e-13,1.5857581978855427e-12
cat__model_Equinox,3.637978807091713e-13,7.275957614183426e-13
cat__make_Cadillac,3.637978807091713e-13,4.455595886216867e-13
cat__model_X1,3.637978807091713e-13,4.455595886216867e-13
cat__make_hyundai,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_Super Duty F-350 SRW,1.8189894035458566e-13,3.637978807091713e-13
cat__model_quest sl,1.8189894035458566e-13,3.637978807091713e-13
cat__model_ATS Sedan,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_A3,1.8189894035458566e-13,3.637978807091713e-13
cat__make_chevy,1.8189894035458566e-13,3.637978807091713e-13
cat__model_240,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_mdx,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_grand caravan sxt,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_Legacy,1.8189894035458566e-13,3.6379788070917137e-13
cat__make_nissan,1.8189894035458566e-13,3.637978807091713e-13
cat__model_GLK350,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_GS 300,1.8189894035458566e-13,3.637978807091713e-13
cat__model_silverado 1500,1.8189894035458566e-13,3.637978807091713e-13
cat__make_GMC,1.8189894035458566e-13,3.6379788070917137e-13
cat__make_Volvo,1.8189894035458566e-13,3.637978807091713e-13
cat__model_GL 450 4MATIC,1.8189894035458566e-13,3.6379788070917137e-13
cat__make_dodge,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_Ranger XLT,1.8189894035458566e-13,3.637978807091713e-13
cat__model_XV Crosstrek,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_Pilot,1.8189894035458566e-13,3.6379788070917137e-13
cat__make_Infiniti,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_EXPRESS 1500,1.8189894035458566e-13,1.564753850660532e-12
cat__model_Kona,1.8189894035458566e-13,3.637978807091713e-13
cat__model_Escape,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_crosstrek,1.8189894035458566e-13,3.6379788070917137e-13
cat__model_S-Class,1.8189894035458566e-13,3.637978807091713e-13
cat__model_Soul +,0.0,0.0
cat__model_Sentra,0.0,0.0
cat__model_Sportage,0.0,0.0
cat__model_Prius Hybrid,0.0,0.0
cat__model_ROGUE S,0.0,0.0
cat__model_Sprinter C2500/C3500,0.0,0.0
cat__model_Quattroporte,0.0,0.0
cat__model_X1 xdrive28i,0.0,0.0
cat__model_RDX,0.0,0.0
cat__model_X2,0.0,0.0
cat__model_Venza LE FWD SUV,0.0,0.0
cat__model_Venza,0.0,0.0
cat__model_Tundra SR5,0.0,0.0
cat__model_Versa,0.0,0.0
cat__model_X3 3.5i X-drive Premium SUV,0.0,0.0
cat__model_X3 2.8i X-drive Premium SUV,0.0,0.0
cat__model_S60 T5 AWD Sport Sedan,0.0,0.0
