feature,importance_mean,importance_std
num__mileage_num,2889.292991936316,130.75036754934942
cat__transmission_automatic,347.32462453716346,41.2661139844143
cat__recent_repairs_none,269.40214001177065,105.52814005975976
num__year_num,241.89999174355907,13.861290487237623
cat__condition_good,50.140238086725006,40.93933296471311
cat__recent_repairs_major,33.426825391225975,40.93933296473673
cat__condition_excellent,33.018927098394485,86.57602049895412
cat__seller_urgency_medium,16.713412695631813,33.42682539115176
cat__make_Toyota,16.713412695599438,33.42682539115613
cat__make_Land Rover,16.713412695590524,33.426825391165586
cat__model_Camry SE,16.7134126955827,33.42682539116541
cat__model_Range Rover,16.71341269558252,33.42682539116504
cat__make_Subaru,16.71341269557688,33.42682539116877
cat__make_Audi,16.713412695569424,33.42682539117159
cat__transmission_manual,2.2264430299401284e-10,1.7096565188707872e-11
cat__make_Chevrolet,1.1550582712516189e-10,2.3166242281052063e-11
cat__model_Bel Air,9.822542779147625e-11,0.0
cat__model_corvette,7.185008144006133e-11,0.0
cat__make_chevrolet,7.130438461899758e-11,4.4555958862168663e-13
cat__model_Chevelle SS,5.547917680814862e-11,0.0
cat__model_Camaro,2.8194335754960775e-11,1.4101567971603294e-11
cat__make_Honda,2.037268131971359e-11,4.165684309016039e-11
cat__condition_fair,1.709850039333105e-11,3.4250174561572706e-11
cat__model_Rogue,1.6916601452976467e-11,3.383320290595293e-11
cat__model_Corolla,1.6916601452976467e-11,3.383320290595293e-11
cat__make_Kia,1.6734702512621878e-11,3.3925981069539975e-11
cat__model_Accord,1.6734702512621878e-11,3.3925981069539975e-11
cat__make_Nissan,1.6370904631912708e-11,3.411272029228392e-11
cat__model_Soul,1.6189005691558123e-11,3.420667489384215e-11
cat__model_Defender 90,8.185452315956354e-12,0.0
cat__model_Outback,6.5483618527650835e-12,1.4476687466282991e-11
cat__make_GMC,6.184563972055912e-12,1.2369127944111824e-11
cat__model_XV CrossTrek,5.820766091346741e-12,1.3023252773323292e-11
cat__model_Civic,3.819877747446299e-12,7.639755494892596e-12
cat__make_ford,3.819877747446299e-12,6.912159733474255e-12
cat__make_CHEVROLET,3.637978807091713e-12,7.738725757438313e-12
cat__make_Cadillac,3.637978807091713e-12,1.4042786690420168e-11
cat__model_focus se,2.9103830456733705e-12,7.639755494892596e-12
cat__make_Lexus,2.7284841053187847e-12,1.2862197421537486e-12
cat__model_XC60 T5 AWD Premier SUV,2.1827872842550277e-12,5.011505625117072e-11
cat__model_LC 500,2.0008883439004423e-12,3.6379788070917126e-13
cat__make_Volvo,1.8189894035458565e-12,5.0132879163091356e-11
cat__make_Mercedes-Benz,1.8189894035458565e-12,8.134767913360664e-13
cat__model_PACIFICA TOURING L,9.094947017729282e-13,0.0
cat__make_CHRYSLER,9.094947017729282e-13,0.0
cat__model_Fusion,7.275957614183426e-13,3.637978807091713e-13
cat__model_Country Squire Wagon,3.637978807091713e-13,7.275957614183427e-13
cat__make_Mini,3.637978807091713e-13,7.275957614183426e-13
cat__model_GS 300,1.8189894035458566e-13,8.911191772433734e-13
cat__model_Traverse,1.8189894035458566e-13,3.637978807091713e-13
cat__model_malibu,1.8189894035458566e-13,3.637978807091713e-13
cat__make_Jaguar,1.8189894035458566e-13,8.911191772433734e-13
cat__model_Q5 Prestige,0.0,0.0
cat__model_Q5 Premium,0.0,0.0
cat__model_Q5,0.0,0.0
cat__model_Pacifica Mini-T Campervan,0.0,0.0
cat__model_PROMASTER 2500 159 WB,0.0,0.0
cat__model_Promaster 2500,0.0,0.0
cat__model_Ranger XL regular cab 2D 6FT,0.0,0.0
cat__model_ProMaster 2500,0.0,0.0
cat__model_ProMaster 1500,0.0,0.0
cat__model_Prius Two,0.0,0.0
cat__model_Prius Touring Hybrid Hatchback,0.0,0.0
cat__model_Ranger XL,0.0,0.0
cat__model_Ranger XLT,0.0,0.0
cat__model_PACIFICA LIMITED,0.0,0.0
cat__model_PACIFICA,0.0,0.0
cat__model_Ranger Xlt,0.0,0.0
cat__model_RDX,0.0,0.0
cat__model_Outlander,0.0,0.0
cat__model_SIERRA K 8CYL,0.0,0.0
cat__model_Outback 3.6r Limited AWD,0.0,0.0
cat__model_Rav4 Limited,0.0,0.0
cat__model_Pathfinder S,0.0,0.0
cat__model_Pathfinder,0.0,0.0
cat__model_Prius Hybrid Hatchback,0.0,0.0
cat__model_civic ex-l,0.0,0.0
cat__model_civic,0.0,0.0
cat__model_city express,0.0,0.0
cat__model_Passat SE,0.0,0.0
cat__model_cherokee,0.0,0.0
cat__model_cj7,0.0,0.0
cat__model_charger,0.0,0.0
cat__model_ROGUE S,0.0,0.0
cat__model_camry xle sedan,0.0,0.0
cat__model_e-250 econoline,0.0,0.0
cat__model_RX 350,0.0,0.0
cat__model_QX56,0.0,0.0
cat__model_RX350,0.0,0.0
cat__model_Ram 1500,0.0,0.0
cat__model_Prius C Four,0.0,0.0
cat__model_Ram 1500 Laramie,0.0,0.0
cat__model_Ram 2500 5.9L Cummins,0.0,0.0
cat__model_Sprinter C2500/C3500,0.0,0.0
cat__model_Suburban LT 1500,0.0,0.0
cat__model_S-class S550,0.0,0.0
cat__model_Quattroporte,0.0,0.0
cat__model_Rambler Classic,0.0,0.0
cat__model_QX60,0.0,0.0
cat__model_Prius Hybrid,0.0,0.0
cat__model_Highlander,0.0,0.0
cat__model_H2,0.0,0.0
cat__model_Kona,0.0,0.0
cat__model_Journey SXT,0.0,0.0
cat__model_Jetta Sedan,0.0,0.0
cat__model_Jetta,0.0,0.0
cat__model_JX35,0.0,0.0
cat__model_Grand Cherokee Laredo,0.0,0.0
cat__model_Grand Cherokee L,0.0,0.0
cat__model_Grand Cherokee Altitude,0.0,0.0
cat__model_Impreza,0.0,0.0
cat__model_Impala LT,0.0,0.0
cat__model_Impala,0.0,0.0
cat__model_IMPALA SS,0.0,0.0
cat__model_Rav 4,0.0,0.0
cat__model_Optima,0.0,0.0
cat__model_Odyssey EX,0.0,0.0
cat__model_Nx,0.0,0.0
cat__model_Mustang V6,0.0,0.0
cat__model_Gti,0.0,0.0
cat__model_Grand Cherokee Overland AWD SUV,0.0,0.0
cat__model_Grand Cherokee Overland,0.0,0.0
cat__model_Grand Cherokee Laredo E,0.0,0.0
cat__model_MKZ,0.0,0.0
cat__model_Mustang Convertible,0.0,0.0
cat__model_Mustang,0.0,0.0
cat__model_Mountaineer Sport Utility,0.0,0.0
cat__model_Montero,0.0,0.0
cat__model_Model S,0.0,0.0
cat__model_ILX,0.0,0.0
cat__model_M45X AWD Premium Sedan,0.0,0.0
cat__model_M240i,0.0,0.0
cat__model_M2,0.0,0.0
cat__model_Mini T HR Campervan,0.0,0.0
cat__model_Mazda3,0.0,0.0
cat__model_Maxima SV,0.0,0.0
cat__model_Maxima,0.0,0.0
cat__model_MURANO SV,0.0,0.0
cat__model_flex,0.0,0.0
cat__model_firebird trans am,0.0,0.0
cat__model_f-250,0.0,0.0
cat__model_express 2500,0.0,0.0
cat__model_explorer sport trac limited,0.0,0.0
cat__model_MKT Limousine,0.0,0.0
cat__model_Highlander XLE AWD,0.0,0.0
cat__model_MDX,0.0,0.0
cat__model_escalade,0.0,0.0
cat__model_equinox,0.0,0.0
cat__model_elantra,0.0,0.0
cat__model_ecosport s,0.0,0.0
cat__model_e350 super duty cutaway,0.0,0.0
cat__model_e-350 econoline,0.0,0.0
cat__model_focus,0.0,0.0
cat__model_dakota,0.0,0.0
cat__model_cruze lt,0.0,0.0
cat__model_corvette zr1,0.0,0.0
cat__model_corolla le,0.0,0.0
cat__model_corolla,0.0,0.0
cat__model_explorer sport,0.0,0.0
cat__model_escape,0.0,0.0
cat__model_MDX SPORT,0.0,0.0
cat__make_Saturn,0.0,0.0
cat__make_cadillac,0.0,0.0
cat__make_buick,0.0,0.0
cat__make_bmw,0.0,0.0
cat__make_VW,0.0,0.0
cat__model_ram 3500,0.0,0.0
cat__make_SUBARU,0.0,0.0
cat__make_RAM,0.0,0.0
cat__make_Pontiac,0.0,0.0
cat__make_NISSAN,0.0,0.0
cat__model_suburban,0.0,0.0
cat__model_1500,0.0,0.0
cat__make_Mercedez-Benz,0.0,0.0
cat__make_Mercedes-benz,0.0,0.0
cat__model_X3,0.0,0.0
cat__make_Mercedes Benz,0.0,0.0
cat__make_Mazda,0.0,0.0
cat__model_Town and country,0.0,0.0
cat__model_Wrangler Rubicon,0.0,0.0
cat__model_Wrangler,0.0,0.0
cat__model_Vue,0.0,0.0
cat__model_Versa SV,0.0,0.0
cat__model_Versa,0.0,0.0
cat__model_Venza LE FWD SUV,0.0,0.0
cat__model_Venza,0.0,0.0
cat__model_Tahoe,0.0,0.0
cat__model_TRAX LT,0.0,0.0
cat__model_Tundra SR5,0.0,0.0
cat__model_Trax LS,0.0,0.0
cat__make_Mercedes Benz AMG,0.0,0.0
cat__model_XV Crosstrek Limited 4D Wagon,0.0,0.0
cat__model_XV Crosstrek Hybrid AWD,0.0,0.0
cat__model_XV Crosstrek,0.0,0.0
cat__model_XV CROSSTREK HYBRID,0.0,0.0
cat__model_XTS,0.0,0.0
cat__model_altima 2.5 sl,0.0,0.0
cat__model_XJS Roadster,0.0,0.0
cat__model_XF,0.0,0.0
cat__model_X7,0.0,0.0
cat__model_X5 3.5i X-drive Sport SUV,0.0,0.0
cat__model_X5,0.0,0.0
cat__model_X3 3.5i x-drive SUV,0.0,0.0
cat__model_Yukon XL,0.0,0.0
cat__make_Acura,0.0,0.0
cat__make_Scion,0.0,0.0
cat__transmission_Automatic,0.0,0.0
cat__model_tacoma,0.0,0.0
cat__model_town &country,0.0,0.0
cat__model_town & country,0.0,0.0
cat__model_yaris ia,0.0,0.0
cat__model_xts,0.0,0.0
cat__model_xc60,0.0,0.0
cat__model_s,0.0,0.0
cat__model_q5 3.0t premium plus,0.0,0.0
cat__model_pt cruiser,0.0,0.0
cat__model_protege,0.0,0.0
cat__model_promaster city,0.0,0.0
cat__model_pilot ex,0.0,0.0
cat__model_pickup,0.0,0.0
cat__model_rx350L,0.0,0.0
cat__transmission_CVT,0.0,0.0
cat__model_Sportage,0.0,0.0
cat__model_Soul GL,0.0,0.0
cat__model_Sentra SR,0.0,0.0
cat__model_Sentra,0.0,0.0
cat__model_Seltos EX,0.0,0.0
cat__model_Savana 1500 Cargo,0.0,0.0
cat__model_SRX4,0.0,0.0
cat__model_SL500,0.0,0.0
cat__model_SILVERADO 1500 RST Z-71 4X4 CREW CAB,0.0,0.0
cat__model_Silverado 1500,0.0,0.0
cat__model_X3 3.5i x-drive,0.0,0.0
cat__model_X3 3.5i X-drive Premium SUV,0.0,0.0
cat__model_X3 2.8i X-drive Premium SUV,0.0,0.0
cat__model_Model 3,0.0,0.0
cat__model_Trax,0.0,0.0
cat__model_X1 xdrive28i,0.0,0.0
cat__model_X1,0.0,0.0
cat__model_Wrangler Sahara,0.0,0.0
cat__model_S60 T5 Sport Sedan,0.0,0.0
cat__model_S60 T5 AWD Sport Sedan,0.0,0.0
cat__model_S500 4Matic,0.0,0.0
cat__model_S5 Convertible Premium Plus Quattro Drive,0.0,0.0
cat__model_S430,0.0,0.0
cat__model_S4,0.0,0.0
cat__model_PROMASTER 2500,0.0,0.0
cat__model_PILOT EX-L,0.0,0.0
cat__model_S-Class,0.0,0.0
cat__model_Rx7,0.0,0.0
cat__model_Rx 350 F Sport,0.0,0.0
cat__model_Rio,0.0,0.0
cat__model_X2,0.0,0.0
cat__model_Transit AWD Mini T HR Campervan,0.0,0.0
cat__model_Trans Am,0.0,0.0
cat__model_camaro,0.0,0.0
cat__model_beetle tdi convertible,0.0,0.0
cat__model_aveo,0.0,0.0
cat__model_avalanche 1500 ltz 4x4,0.0,0.0
cat__model_Tlx,0.0,0.0
cat__model_Tiguan S,0.0,0.0
cat__model_Tiguan,0.0,0.0
cat__model_Taurus,0.0,0.0
cat__model_altima,0.0,0.0
cat__model_accord sport,0.0,0.0
cat__model_accord ex-l,0.0,0.0
cat__model_accent se,0.0,0.0
cat__model_Sienna,0.0,0.0
cat__model_camry le,0.0,0.0
cat__model_camry,0.0,0.0
cat__model_camaro z28,0.0,0.0
cat__model_Silverado 2500HD,0.0,0.0
cat__model_Silverado 1500 Z71 LT,0.0,0.0
cat__model_Silverado 1500 LT extended cab 4D,0.0,0.0
cat__model_TLX,0.0,0.0
cat__model_TL,0.0,0.0
cat__model_TERRAIN SLE-2,0.0,0.0
cat__model_TAHOE LT,0.0,0.0
cat__model_Sierra 2500hd Denali,0.0,0.0
cat__model_Sierra 2500 HD SLE,0.0,0.0
cat__model_Sierra 2500 HD,0.0,0.0
cat__model_Sierra 1500,0.0,0.0
cat__model_Sienna LE,0.0,0.0
cat__model_Z3 Roadster,0.0,0.0
cat__model_328i,0.0,0.0
cat__model_325i,0.0,0.0
cat__model_300c,0.0,0.0
cat__model_300,0.0,0.0
cat__model_3.5RL,0.0,0.0
cat__model_3 Series 330i xDrive,0.0,0.0
cat__model_Bronco,0.0,0.0
cat__model_Box Truck,0.0,0.0
cat__model_CR-V,0.0,0.0
cat__model_CLS 500,0.0,0.0
cat__model_CLA,0.0,0.0
cat__model_CHEVELLE,0.0,0.0
cat__model_CAMRY SE,0.0,0.0
cat__model_Accord Ex Sedan,0.0,0.0
cat__model_Fiesta SE,0.0,0.0
cat__model_C300 4matic,0.0,0.0
cat__model_C300 4-matic Luxury Sedan,0.0,0.0
cat__model_C/K Pickup,0.0,0.0
cat__model_C-class,0.0,0.0
cat__model_C-Class,0.0,0.0
cat__make_ram,0.0,0.0
cat__make_pontiac,0.0,0.0
cat__make_nissna,0.0,0.0
cat__model_3 Series 330e iPerformance,0.0,0.0
cat__model_3,0.0,0.0
cat__model_262C Bertone,0.0,0.0
cat__model_2500 HD,0.0,0.0
cat__model_240,0.0,0.0
cat__make_mercury,0.0,0.0
cat__make_mercedes-benz,0.0,0.0
cat__model_Accent,0.0,0.0
cat__model_outback 3.6,0.0,0.0
cat__model_outback 2.5i premium,0.0,0.0
cat__model_outback,0.0,0.0
cat__model_odyssey ex-l,0.0,0.0
cat__model_Acadia SLT AWD SUV,0.0,0.0
