feature,importance_mean,importance_std
num__mileage_num,4681.622018358665,168.23008007607723
num__year_num,1159.2350799005987,46.81384682094267
cat__recent_repairs_none,915.0360439406501,327.77045472619847
cat__condition_excellent,652.3618736518929,334.23633039511793
cat__seller_urgency_high,606.7778236421651,380.67964540395917
cat__transmission_automatic,564.5493010925566,109.89345390422012
cat__recent_repairs_minor,111.69027431587601,136.79209065261088
cat__make_chevy,111.69027431582654,136.7920906526461
cat__seller_urgency_low,55.84513715792855,111.69027431582708
cat__make_Toyota,55.84513715792782,111.69027431585927
cat__make_Land Rover,55.845137157917996,111.69027431583599
cat__model_Range Rover Sport,55.845137157917996,111.69027431583599
cat__model_ATS-4 AWD Sport Sedan,55.84513715791727,111.69027431583545
cat__make_Cadillac,55.84513715791691,111.69027431583564
cat__make_Chevrolet,1.5315890777856112e-10,2.0463428678959073e-11
cat__model_Bel Air,1.0695657692849636e-10,7.275957614183426e-13
cat__transmission_manual,1.0368239600211382e-10,4.465980175714913e-11
cat__recent_repairs_major,6.912159733474255e-11,5.354135906814257e-11
cat__make_Ford,4.9112713895738125e-11,2.9126558949425956e-11
cat__model_Camaro,4.001776687800884e-11,0.0
cat__make_toyota,3.67435859516263e-11,4.510800325865067e-11
cat__condition_good,3.456079866737127e-11,6.077711529364322e-11
cat__model_Mustang GT,2.000888343900442e-11,0.0
cat__model_express 2500,1.8189894035458565e-11,3.729593701824867e-11
cat__make_Chevy,1.7826096154749395e-11,3.748001071854241e-11
cat__condition_fair,1.709850039333105e-11,3.613522142939915e-11
cat__make_ford,1.6370904631912708e-11,3.637978807091713e-11
cat__model_Fusion,1.3096723705530167e-11,2.3559950726764768e-11
cat__make_Chrysler,1.2732925824820995e-11,3.637978807091713e-11
cat__model_Pacifica,1.2369127944111824e-11,3.65684736552912e-11
cat__model_Optima,1.1641532182693482e-11,2.3283064365386964e-11
cat__model_Silverado 2500 HD,1.0913936421275139e-11,2.366085033501309e-11
cat__make_Kia,1.0913936421275139e-11,2.366085033501309e-11
cat__make_Dodge,1.4551915228366853e-12,2.67335753173012e-12
cat__model_Passat SE,7.275957614183426e-13,1.4551915228366853e-12
cat__make_lexus,3.637978807091713e-13,1.7822383544867465e-12
cat__model_Civic,3.637978807091713e-13,2.6733575317301196e-12
cat__model_camaro,3.637978807091713e-13,1.7822383544867467e-12
cat__model_Yukon XL,3.637978807091713e-13,1.7822383544867467e-12
cat__model_Suburban LT,0.0,0.0
cat__model_civic,0.0,0.0
cat__model_civic ex-l,0.0,0.0
cat__model_Odyssey EX,0.0,0.0
cat__model_city express,0.0,0.0
cat__model_cherokee,0.0,0.0
cat__model_Rx 350 F Sport,0.0,0.0
cat__model_charger,0.0,0.0
cat__model_Legacy,0.0,0.0
cat__model_LS 460 L,0.0,0.0
cat__model_LC 500,0.0,0.0
cat__model_camry,0.0,0.0
cat__model_Super Duty F-350 SRW,0.0,0.0
cat__model_beetle tdi convertible,0.0,0.0
cat__model_aveo,0.0,0.0
cat__model_altima,0.0,0.0
cat__model_accord sport,0.0,0.0
cat__model_corolla le,0.0,0.0
cat__model_Outback,0.0,0.0
cat__model_Pilot,0.0,0.0
